number,position,Player,Caps,Club,country,age,birthday,isHome
8,MF,Jo?o Moutinho,66,France Monaco,Portugal,27,8 September 1986,FALSE
9,FW,Hugo Almeida,53,Turkey Besiktas,Portugal,30,23 May 1984,FALSE
10,MF,Vieirinha,6,Germany VfL Wolfsburg,Portugal,28,24 January 1986,FALSE
11,FW,?der,6,Portugal Braga,Portugal,26,22 December 1987,TRUE
12,GK,Rui Patr?cio,29,Portugal Sporting CP,Portugal,26,15 February 1988,TRUE
13,DF,Ricardo Costa,16,Spain Valencia,Portugal,33,16 May 1981,FALSE
14,DF,Lu?s Neto,6,Russia Zenit Saint Petersburg,Portugal,26,26 May 1988,FALSE
15,MF,Rafa Silva,1,Portugal Braga,Portugal,21,17 May 1993,TRUE
16,MF,Raul Meireles,73,Turkey Fenerbah?e,Portugal,31,17 March 1983,FALSE
17,MF,Nani,72,England Manchester United,Portugal,27,17 November 1986,FALSE
18,MF,Silvestre Varela,21,Portugal Porto,Portugal,29,2 February 1985,TRUE
19,DF,Andr? Almeida,2,Portugal Benfica,Portugal,23,10 September 1990,TRUE
20,MF,R?ben Amorim,10,Portugal Benfica,Portugal,29,27 January 1985,TRUE
21,DF,Jo?o Pereira,34,Spain Valencia,Portugal,30,25 February 1984,FALSE
22,GK,Beto,6,Spain Sevilla,Portugal,32,1 May 1982,FALSE
23,FW,H?lder Postiga,66,Italy Lazio,Portugal,31,2 August 1982,FALSE
1,GK,Tim Howard,98,England Everton,United States,35,6 March 1979,FALSE
2,DF,DeAndre Yedlin,3,United States Seattle Sounders FC,United States,20,9 July 1993,TRUE
3,DF,Omar Gonzalez,19,United States Los Angeles Galaxy,United States,25,11 October 1988,TRUE
4,MF,Michael Bradley,84,Canada Toronto FC,United States,26,31 July 1987,FALSE
5,DF,Matt Besler,15,United States Sporting Kansas City,United States,27,11 February 1987,TRUE
6,DF,John Brooks,3,Germany Hertha BSC,United States,21,28 January 1993,FALSE
7,DF,DaMarcus Beasley,115,Mexico Puebla,United States,32,24 May 1982,FALSE
8,FW,Clint Dempsey,103,United States Seattle Sounders FC,United States,31,9 March 1983,TRUE
9,FW,Aron J?hannsson,8,Netherlands AZ,United States,23,10 November 1990,FALSE
10,MF,Mikkel Diskerud,18,Norway Rosenborg,United States,23,2 October 1990,FALSE
11,MF,Alejandro Bedoya,27,France Nantes,United States,27,29 April 1987,FALSE
12,GK,Brad Guzan,24,England Aston Villa,United States,29,9 September 1984,FALSE
13,MF,Jermaine Jones,40,Turkey Besiktas,United States,32,3 November 1981,FALSE
14,MF,Brad Davis,15,United States Houston Dynamo,United States,32,8 November 1981,TRUE
15,MF,Kyle Beckerman,35,United States Real Salt Lake,United States,32,23 April 1982,TRUE
16,MF,Julian Green,1,Germany Bayern Munich,United States,19,6 June 1995,FALSE
17,FW,Jozy Altidore,68,England Sunderland,United States,24,6 November 1989,FALSE
18,FW,Chris Wondolowski,20,United States San Jose Earthquakes,United States,31,28 January 1983,TRUE
19,MF,Graham Zusi,21,United States Sporting Kansas City,United States,27,18 August 1986,TRUE
20,DF,Geoff Cameron,25,England Stoke City,United States,28,11 July 1985,FALSE
21,DF,Timothy Chandler,11,Germany 1. FC N?rnberg,United States,24,29 March 1990,FALSE
22,GK,Nick Rimando,14,United States Real Salt Lake,United States,34,17 June 1979,TRUE
23,DF,Fabian Johnson,20,Germany 1899 Hoffenheim,United States,26,11 December 1987,FALSE
?,GK,Ra?s M'Bolhi,27,Bulgaria CSKA Sofia,Algeria,28,25 April 1986,FALSE
?,GK,Mohamed Zemmamouche,6,Algeria USM Alger,Algeria,29,19 March 1985,TRUE
?,GK,Azzedine Doukha,5,Algeria USM El Harrach,Algeria,27,5 August 1986,TRUE
?,GK,C?dric Si Mohamed,1,Algeria CS Constantine,Algeria,29,9 January 1985,TRUE
?,DF,Madjid Bougherra,61,Qatar Lekhwiya,Algeria,31,7 October 1982,FALSE
?,DF,Rafik Halliche,27,Portugal Acad?mica,Algeria,27,2 September 1986,FALSE
?,DF,Djamel Mesbah,25,Italy Livorno,Algeria,29,9 October 1984,FALSE
?,DF,Carl Medjani,24,France Valenciennes,Algeria,29,15 May 1985,FALSE
?,DF,Essa?d Belkalem,12,England Watford,Algeria,25,1 January 1989,FALSE
?,DF,Liassine Cadamuro-Benta?ba,6,Spain Mallorca,Algeria,26,5 March 1988,FALSE
?,DF,Faouzi Ghoulam,5,Italy Napoli,Algeria,23,1 February 1991,FALSE
?,DF,Nacereddine Khoualed,4,Algeria USM Alger,Algeria,28,16 April 1986,TRUE
?,DF,A?ssa Mandi,1,France Reims,Algeria,22,22 October 1991,FALSE
?,MF,Medhi Lacen,28,Spain Getafe,Algeria,30,15 May 1984,FALSE
?,MF,Adl?ne Guedioura,27,England Crystal Palace,Algeria,28,12 November 1985,FALSE
?,MF,Hassan Yebda,24,Italy Udinese,Algeria,30,14 May 1984,FALSE
?,MF,Foued Kadir,23,France Rennes,Algeria,30,5 December 1983,FALSE
?,MF,Mehdi Mostefa,22,France Ajaccio,Algeria,30,30 August 1983,FALSE
?,MF,Sofiane Feghouli,17,Spain Valencia,Algeria,24,26 December 1989,FALSE
?,MF,Ryad Boudebouz,16,France Bastia,Algeria,24,19 February 1990,FALSE
?,MF,Saphir Ta?der,9,Italy Internazionale,Algeria,22,29 February 1992,FALSE
?,MF,Abdelmoumene Djabou,6,Tunisia Club Africain,Algeria,27,31 January 1987,FALSE
?,MF,Yacine Brahimi,4,Spain Granada,Algeria,24,8 February 1990,FALSE
1,GK,Thibaut Courtois,15,Spain Atl?tico Madrid,Belgium,22,11 May 1992,FALSE
2,DF,Toby Alderweireld,33,Spain Atl?tico Madrid,Belgium,25,2 March 1989,FALSE
3,DF,Thomas Vermaelen,48,England Arsenal,Belgium,28,14 November 1985,FALSE
4,DF,Vincent Kompany,58,England Manchester City,Belgium,28,10 April 1986,FALSE
5,DF,Jan Vertonghen,56,England Tottenham Hotspur,Belgium,27,24 April 1987,FALSE
6,MF,Axel Witsel,46,Russia Zenit Saint Petersburg,Belgium,25,12 January 1989,FALSE
7,MF,Kevin De Bruyne,21,Germany VfL Wolfsburg,Belgium,22,28 June 1991,FALSE
8,MF,Marouane Fellaini,49,England Manchester United,Belgium,26,22 November 1987,FALSE
9,FW,Romelu Lukaku,28,England Everton,Belgium,21,13 May 1993,FALSE
10,MF,Eden Hazard,44,England Chelsea,Belgium,23,7 January 1991,FALSE
11,MF,Kevin Mirallas,44,England Everton,Belgium,26,5 October 1987,FALSE
12,GK,Simon Mignolet,14,England Liverpool,Belgium,25, 6 August 1988,FALSE
13,GK,Koen Casteels,0,Germany 1899 Hoffenheim,Belgium,21, 25 June 1992,FALSE
14,FW,Dries Mertens,23,Italy Napoli,Belgium,27,6 May 1987,FALSE
15,DF,Daniel Van Buyten,78,Germany Bayern Munich,Belgium,36,7 February 1978,FALSE
16,MF,Steven Defour,43,Portugal Porto,Belgium,26,15 April 1988,FALSE
17,FW,Divock Origi,1,France Lille,Belgium,19,18 April 1995,FALSE
18,DF,Nicolas Lombaerts,26,Russia Zenit Saint Petersburg,Belgium,29,20 March 1985,FALSE
19,MF,Mousa Demb?l?,55,England Tottenham Hotspur,Belgium,26,16 July 1987,FALSE
20,MF,Adnan Januzaj,1,England Manchester United,Belgium,19,5 February 1995,FALSE
21,DF,Anthony Vanden Borre,25,Belgium Anderlecht,Belgium,26,24 October 1987,TRUE
22,MF,Nacer Chadli,19,England Tottenham Hotspur,Belgium,24,2 October 1989,FALSE
23,DF,Laurent Ciman,8,Belgium Standard Li?ge,Belgium,28,5 August 1985,TRUE
?,GK,Igor Akinfeev,67,Russia CSKA Moscow,Russia,28,8 April 1986,TRUE
?,GK,Yuri Lodygin,2,Russia Zenit Saint Petersburg,Russia,24,26 May 1990,TRUE
?,GK,Sergey Ryzhikov,1,Russia Rubin Kazan,Russia,33,19 September 1980,TRUE
?,DF,Sergei Ignashevich,95,Russia CSKA Moscow,Russia,34,14 July 1979,TRUE
?,DF,Vasili Berezutski,76,Russia CSKA Moscow,Russia,31,20 June 1982,TRUE
?,DF,Dmitri Kombarov,21,Russia Spartak Moscow,Russia,27,22 January 1987,TRUE
?,DF,Andrey Yeshchenko,10,Russia Anzhi Makhachkala,Russia,30,9 February 1984,TRUE
?,DF,Aleksei Kozlov,9,Russia Dynamo Moscow,Russia,27,16 November 1986,TRUE
?,DF,Vladimir Granat,4,Russia Dynamo Moscow,Russia,27,22 May 1987,TRUE
?,DF,Georgi Shchennikov,3,Russia CSKA Moscow,Russia,23,27 April 1991,TRUE
?,DF,Andrei Semyonov,0,Russia Terek Grozny,Russia,25,24 March 1989,TRUE
?,MF,Yuri Zhirkov,60,Russia Dynamo Moscow,Russia,30,20 August 1983,TRUE
?,MF,Igor Denisov,42,Russia Dynamo Moscow,Russia,30,17 May 1984,TRUE
?,MF,Roman Shirokov,41,Russia Krasnodar,Russia,32,6 July 1981,TRUE
?,MF,Alan Dzagoev,31,Russia CSKA Moscow,Russia,23,17 June 1990,TRUE
?,MF,Denis Glushakov,25,Russia Spartak Moscow,Russia,27,27 January 1987,TRUE
?,MF,Viktor Fayzulin,17,Russia Zenit Saint Petersburg,Russia,28,22 April 1986,TRUE
?,MF,Aleksandr Samedov,15,Russia Lokomotiv Moscow,Russia,29,19 July 1984,TRUE
?,MF,Oleg Shatov,5,Russia Zenit Saint Petersburg,Russia,23,29 July 1990,TRUE
?,MF,Aleksei Ionov,4,Russia Dynamo Moscow,Russia,25,18 February 1989,TRUE
?,MF,Pavel Mogilevets,1,Russia Rubin Kazan,Russia,21,25 January 1993,TRUE
?,FW,Aleksandr Kerzhakov,79,Russia Zenit Saint Petersburg,Russia,31,27 November 1982,TRUE
?,FW,Aleksandr Kokorin,20,Russia Dynamo Moscow,Russia,23,19 March 1991,TRUE
1,GK,Jung Sung-Ryong,60,South Korea Suwon Bluewings,South Korea,29,4 January 1985,TRUE
2,DF,Kim Chang-Soo,8,Japan Kashiwa Reysol,South Korea,28,12 September 1985,FALSE
3,DF,Yun Suk-Young,3,England Queens Park Rangers,South Korea,24,13 February 1990,FALSE
4,DF,Kwak Tae-Hwi,34,Saudi Arabia Al-Hilal,South Korea,32,8 July 1981,FALSE
5,DF,Kim Young-Gwon,20,China Guangzhou Evergrande,South Korea,24,27 February 1990,FALSE
6,DF,Hwang Seok-Ho,3,Japan Sanfrecce Hiroshima,South Korea,24,27 June 1989,FALSE
7,MF,Kim Bo-Kyung,27,Wales Cardiff City,South Korea,24,6 October 1989,FALSE
8,MF,Ha Dae-Sung,13,China Beijing Guoan,South Korea,29,2 March 1985,FALSE
9,FW,Son Heung-Min,24,Germany Bayer Leverkusen,South Korea,21,8 July 1992,FALSE
10,FW,Park Chu-Young,63,England Watford,South Korea,28,10 July 1985,FALSE
11,FW,Lee Keun-Ho,63,South Korea Sangju Sangmu,South Korea,29,11 April 1985,TRUE
12,DF,Lee Yong,11,South Korea Ulsan Hyundai,South Korea,27,24 December 1986,TRUE
13,MF,Koo Ja-Cheol (captain),36,Germany Mainz 05,South Korea,25,27 February 1989,FALSE
14,MF,Han Kook-Young,9,Japan Kashiwa Reysol,South Korea,24,19 April 1990,FALSE
15,MF,Park Jong-Woo,10,China Guangzhou R&F,South Korea,25,10 March 1989,FALSE
16,MF,Ki Sung-Yueng,57,England Sunderland,South Korea,25,24 January 1989,FALSE
17,MF,Lee Chung-Yong,54,England Bolton Wanderers,South Korea,25,2 July 1988,FALSE
18,FW,Kim Shin-Wook,26,South Korea Ulsan Hyundai,South Korea,26,14 April 1988,TRUE
19,FW,Ji Dong-Won,27,Germany FC Augsburg,South Korea,23,28 May 1991,FALSE
20,DF,Hong Jeong-Ho,24,Germany FC Augsburg,South Korea,24,12 August 1989,FALSE
21,GK,Kim Seung-Gyu,5,South Korea Ulsan Hyundai,South Korea,23,30 September 1990,TRUE
22,DF,Kim Jin-Su,10,Japan Albirex Niigata,South Korea,21,13 June 1992,FALSE
23,GK,Lee Bum-Young,0,South Korea Busan IPark,South Korea,25,2 April 1989,TRUE
